id,category_id,name,description,price,image_url,is_active,is_special,created_at,has_discount,discount_price
023522e3-390f-4f0f-a265-0900139a1da4,270399c6-56d6-4f7c-8800-3e346317f4ca,Ichiro roll,"Salmón, palta, cebollín en atún, y salsa acevichada",6000,,false,false,2026-02-12 05:35:25.632329+00,false,
04ceec7c-cd03-4fbc-8b00-950cc5b5ad92,cf3bee05-fb7d-482a-8f2d-40b95a8da915,Tery hot,"Pollo tery, queso crema, cebollín en panko",5000,,true,false,2026-02-12 05:35:25.632329+00,false,
07cc3a65-f891-48b3-b11c-f14303eb79e1,66ec04c4-f5cd-45c4-a004-631367cdbbc5,Chicken California,"Pollo apanado, queso crema, kanikama apanado",4500,https://res.cloudinary.com/dzdgrm4ub/image/upload/v1771044064/menu/mqclqdkw62hifzjij2x8.png,true,false,2026-02-12 05:35:25.632329+00,false,
07d223b4-e580-413d-84f9-06a512a82d0d,66ec04c4-f5cd-45c4-a004-631367cdbbc5,Tery California,"Pollo teriyaki, queso y pimentón en cibulette o sésamo ",4500,,true,false,2026-02-12 05:35:25.632329+00,false,
0ecbe6a3-9504-48a0-9238-a73e4abb8f0e,bddba677-1036-4a04-af1c-c4883f4bcf83,Kento hot,"Palmito, pepino, cebollín envuelto en panko con topping de verduras salteadas y papas hilos ",5500,,true,false,2026-02-12 05:35:25.632329+00,false,
148ad338-6902-41ff-b34b-5ac6db96ff39,bdf2521b-3bc8-4243-aed6-a6d0f16bee71,Gohan de Pollo,"Bowl con base de arroz, palta, cebollín y queso crema con pollo",6000,,true,false,2026-02-12 05:35:25.632329+00,false,
158b0511-fc76-401a-a4f0-628479fadf14,54792bbb-44d8-463a-9309-d38d194e7c1f,Poseidon roll,"Kanikama, palta, cebollín, coronado con gratinado de salmón y queso crema terminado con salsa tery",7000,,true,false,2026-02-12 05:35:25.632329+00,false,
17bc34f6-bbcd-4bcb-88ed-cca546dba446,31b22d2f-e65c-4b90-b338-5bf8f2892314,Croquetas de Salmón,5 unidades con salsa tártara,4500,,false,false,2026-02-12 05:35:25.632329+00,false,
18840099-663c-4317-9a6b-86ad1d7260ae,fa4e3ca6-f567-4052-8b67-06a054989732,Osaki hot,"Pescado blanco apanado, salmón ahumado, queso crema en panko con topping de pasta dinamita y salsa tery",7500,,false,false,2026-02-12 05:35:25.632329+00,false,
188d4294-5ba2-4eee-9b1c-4d1e64d5dfea,2cfc64e1-b0bf-47f5-9966-579867456498,Ceviche vega,"Palta, cebolla y pepino envuelto en palta con topping de ceviche de champiñón",6000,,true,false,2026-02-12 05:35:25.632329+00,false,
1a8f8a78-7be9-43b1-9440-04bd875f0e47,2cfc64e1-b0bf-47f5-9966-579867456498,Plátano roll vegan,"Verduras tempura, queso crema, cebollín envuelto en plátano",5000,,true,false,2026-02-12 05:35:25.632329+00,false,
1ac79d21-733f-44a1-ad65-8ca74c776baa,54792bbb-44d8-463a-9309-d38d194e7c1f,Lemon roll,"Salmón tempura, queso crema, palta envuelto en salmón y rodajas de limón con salsa tery",6500,,true,false,2026-02-12 05:35:25.632329+00,false,
1c6c7740-efcf-4d01-918f-bcc6dbd26ff3,26c437fa-bfb1-4aee-942b-a1460aad5ef0,Sake light,"Salmón, queso crema, mango, kanikama apanado, pepino envuelto en palta con salsa mayomaracucha",7000,,true,false,2026-02-12 05:35:25.632329+00,false,
